customer_id,first_name,last_name,signup_date,region,segment
1,Vivek,Das,6/4/2024,Asia,Free
2,Kavya,Suzuki,,Asia,Premium
3,Aaliyah,Carter,4/13/2024,North America,Free
4,Maja,Andersson,4/3/2025,Europe,Premium
5,Layla,Hassan,4/12/2024,Middle East,Premium
6,Aoi,Park,12/15/2024,Asia,Free
7,James,Moore,11/27/2023,North America,Free
8,,Allen,1/25/2025,North America,Free
9,Kwame,Annan,2/17/2024,Africa,Premium
10,Fatou,Osei,12/30/2023,Africa,Premium
11,Ana,Ortiz,12/27/2023,Latin America,Free
12,Victoria,Vargas,5/24/2024,Latin America,Free
13,Noah,Ramirez,7/10/2024,North America,Free
14,Daniel,Martinez,3/2/2025,North America,Premium
15,Emil,Fredriksson,11/12/2023,Europe,Free
16,Mahmoud,Youssef,7/23/2024,Middle East,Premium
17,Camila,Carter,5/28/2024,North America,Free
18,Taro,Saito,4/7/2025,Asia,Free
19,Angel,Castillo,11/4/2024,Latin America,Premium
20,Sakura,Choi,12/25/2024,Asia,Free
21,Lars,Koch,8/11/2023,Europe,Premium
22,Taro,Malhotra,12/31/2025,Asia,Free
23,Natalia,Gutierrez,9/6/2023,Latin America,Free
24,Felix,Johansson,10/12/2024,Europe,Free
25,Miguel,Rojas,4/7/2024,Latin America,Free
26,Malik,Wilson,7/16/2025,North America,Free
27,Isabella,Lopez,9/20/2023,North America,Premium
28,Elsa,Müller,2/25/2025,Europe,Free
29,Kenji,Ma,2/27/2024,Asia,Premium
30,Santiago,Gutierrez,11/24/2023,Latin America,Premium
31,Sofia,Hall,10/31/2024,North America,Free
32,Martina,Aguilar,3/31/2024,Latin America,Premium
33,Noah,Brown,8/17/2023,North America,Free
34,Vivek,Nakamura,11/4/2024,Asia,Premium
35,Carlos,Harris,11/4/2023,North America,Free
36,Amira,Rahim,3/14/2025,Middle East,Premium
37,Rajesh,Verma,1/12/2025,Asia,Premium
38,Gabriel,Castro,7/21/2024,Latin America,Premium
39,Efua,Uche,11/23/2024,Africa,Free
40,Abdullah,Salim,3/22/2024,Middle East,Free
41,Viktor,Moretti,7/14/2024,Europe,Free
42,Jaden,Clark,3/20/2024,North America,Premium
43,Sophie,Meyer,5/13/2024,Europe,Free
44,Ida,Ek,6/19/2024,Europe,Premium
45,Maja,Bianchi,1/29/2024,Europe,Free
46,Michael,Hernandez,,North America,Free
47,Henry,Hall,4/30/2025,North America,Free
48,Anna,Lund,3/31/2024,Europe,Free
49,Anita,Kumar,12/16/2023,Asia,Premium
50,Emil,Conti,1/2/2025,Europe,Free
51,Anita,Wong,10/26/2023,Asia,Free
52,Noah,Rodriguez,7/19/2023,North America,Free
53,Zoe,Wilson,6/19/2025,North America,Premium
54,Sophia,Parker,3/3/2024,North America,Premium
55,Vivek,Choi,10/8/2024,Asia,Free
56,Emma,Russo,10/1/2024,Europe,Premium
57,Carolina,Martinez,6/4/2025,Latin America,Free
58,Sofia,Bianchi,3/7/2025,Europe,Free
59,Oliver,Rossi,6/18/2024,Europe,Premium
60,Ava,Thomas,3/31/2024,North America,Premium
61,Kenji,Suzuki,9/12/2024,Asia,Free
62,Aria,Evans,11/28/2023,North America,Premium
63,Neha,Tanaka,5/30/2024,Asia,Free
64,Isabelle,Koch,12/8/2024,Europe,Free
65,Lina,Ek,12/12/2023,Europe,Premium
66,Juan,Moore,12/17/2024,North America,Premium
67,Max,Nilsson,6/21/2024,Europe,Free
68,Vivek,Reddy,3/12/2024,Asia,Free
69,Clara,Holm,8/23/2023,Europe,Premium
70,Zoe,Smith,12/11/2023,North America,Premium
71,Amalie,Meyer,6/17/2024,Europe,Premium
72,David,Lopez,4/9/2025,Latin America,Premium
73,Oliver,Wagner,10/13/2024,Europe,Free
74,Ida,Koch,3/23/2024,Europe,Free
75,Valeria,Reyes,12/7/2024,Latin America,Free
76,Zoe,Jackson,6/9/2025,North America,Free
77,Kweku,Chukwu,5/21/2024,Africa,Premium
78,Rohan,Li,5/21/2025,Asia,Premium
79,Alejandro,Diaz,3/29/2025,Latin America,Premium
80,Lucas,Gonzalez,4/19/2025,Latin America,Premium
81,Henry,Thomas,9/14/2024,North America,Free
82,Yasmin,Saad,11/21/2024,Middle East,Free
83,Ethan,King,,North America,Free
84,Min-Jun,Bhatia,8/10/2024,Asia,Free
85,Renata,Castillo,4/1/2025,Latin America,Free
86,Hugo,Russo,8/24/2023,Europe,Free
87,Maja,Svensson,3/9/2025,Europe,Free
88,Sofia,Russo,6/22/2025,Europe,Free
89,Kenji,Verma,9/17/2023,Asia,Free
90,Takeshi,Li,9/6/2023,Asia,Free
91,Lucia,Gomez,3/11/2024,Eu,Premium
92,Anna,Becker,5/23/2025,Europe,Premium
93,Daniel,Davis,11/23/2023,North America,Premium
94,Oliver,Persson,12/13/2024,Europe,Premium
95,Sophie,Lund,11/18/2024,Europe,Free
96,Felipe,Ramirez,9/22/2023,Latin America,Free
97,Rohan,Suzuki,12/15/2024,Asia,Premium
98,Lucia,Castro,10/21/2024,Latin America,Premium
99,Leo,Nielsen,8/3/2024,Europe,Free
100,Emilie,Hoffmann,2/5/2025,Europe,Free
101,Gabriela,Rodriguez,5/6/2024,Latin America,Premium
102,Michael,Taylor,2/5/2025,North America,Premium
103,Awa,Okoro,8/12/2023,Africa,Premium
104,Laura,Nilsson,7/23/2023,Europe,Premium
105,Ngozi,Igwe,2/22/2024,Africa,Free
106,Yusuf,Saleh,9/8/2023,Middle East,Free
107,Emil,Persson,9/13/2024,Europe,Premium
108,Divya,Jeong,9/1/2023,Asia,Free
109,Sebastian,Cruz,6/16/2024,Latin America,Free
110,Grace,Taylor,9/28/2023,North America,Free
111,Ida,Olsen,7/12/2025,Europe,Free
112,Rania,Najjar,10/15/2023,Middle East,Free
113,Juliana,Diaz,6/22/2024,Latin America,Free
114,Carlos,Ramirez,3/14/2024,Latin America,Premium
115,Charlotte,Adams,2/13/2025,North America,Premium
116,Yuki,Kumar,10/9/2024,Asia,Free
117,,,10/21/2024,Europe,Premium
118,Elsa,Ek,8/28/2023,Europe,Free
119,Obinna,Obi,7/2/2024,Africa,Premium
120,Esi,Igwe,4/1/2025,Africa,Free
121,Soo-Jin,Liu,6/18/2024,Asia,Premium
122,Ahmed,Malik,10/8/2023,Middle East,Premium
123,Emil,Meyer,5/29/2024,Europe,Premium
124,Salma,Saleh,,Middle East,Free
125,Huda,Youssef,3/4/2024,Middle East,Free
126,Noah,Russo,5/24/2025,Europe,Free
127,,Torres,10/7/2024,Latin America,Premium
128,Mia,Harris,11/8/2024,North America,Free
129,Andres,Dominguez,1/7/2025,Latin America,Premium
130,Lucas,Anderson,2/3/2025,North America,Free
131,Malik,Carter,12/14/2023,North America,Premium
132,Faisal,Nasser,8/25/2024,Middle East,Free
133,Sami,,12/4/2023,Middle East,Premium
134,Omar,Saad,2/22/2024,Middle East,Free
135,Camila,Walker,9/3/2023,North America,Premium
136,Maja,Müller,4/24/2025,Europe,Premium
137,Juan,Martinez,5/27/2025,North America,Free
138,Javier,Pena,8/6/2023,Latin America,Free
139,Noah,Taylor,3/19/2024,North America,Free
140,Gabriel,Moore,5/5/2025,North America,Premium
141,Juan,Gutierrez,8/23/2023,Latin America,Premium
142,Jens,Russo,5/9/2025,Europe,Free
143,Harper,Scott,8/29/2024,North America,Free
144,Noah,Petersen,10/9/2023,Europe,Free
145,Emma,Johansson,5/23/2025,Europe,Free
146,Victor,Gustafsson,4/23/2024,Europe,Free
147,Matteo,Müller,12/10/2023,Europe,Free
148,,,2/16/2025,Asia,Free
149,Leo,Petersen,3/28/2024,Europe,Premium
150,Aoi,Wong,5/4/2024,Asia,Free
151,Malik,Clark,6/14/2025,North America,Free
152,Camila,Rodriguez,7/14/2025,North America,Free
153,Olumide,,12/3/2024,Africa,Free
154,Max,Mattsson,9/9/2024,Europe,Premium
155,Noah,Nilsson,11/25/2023,Europe,Premium
156,Julia,Becker,12/28/2024,Europe,Free
157,Hana,Saleh,3/29/2024,Middle East,Premium
158,Carlos,Allen,1/8/2024,North America,Premium
159,Sofia,Silva,9/1/2023,Latin America,Premium
160,Mei,Malhotra,4/19/2025,Asia,Premium
161,Lina,Weber,6/21/2025,Europe,Premium
162,Leo,Nilsson,8/28/2024,Europe,Free
163,Mia,Allen,10/24/2023,North America,Premium
164,Maryam,Zaid,1/27/2024,Middle East,Free
165,Evelyn,Carter,10/27/2024,North America,Free
166,,,1/16/2025,Latin America,Free
167,Grace,Hernandez,7/22/2024,North America,Free
168,Awa,Adewale,11/25/2023,Africa,Free
169,Daniel,Dominguez,8/31/2024,Latin America,Premium
170,Leo,Johansson,12/30/2023,Europe,Free
171,Viktor,Andersson,11/14/2024,Europe,Premium
172,Sofia,Ortega,4/13/2024,Latin America,Premium
173,Chen,Das,4/21/2025,Asia,Free
174,Yuna,Yamamoto,8/5/2023,Asia,Free
175,Akira,Zhang,7/8/2025,Asia,Free
176,Anna,Lindberg,1/12/2025,Europe,Premium
177,Rina,Khan,1/29/2024,Asia,Premium
178,Lucia,Nunez,6/5/2024,Latin America,Free
179,Kenji,Reddy,8/24/2024,Asia,Free
180,Aditya,Yoshida,5/18/2025,Asia,Free
181,Arjun,Sharma,4/7/2025,Asia,Free
182,Michael,Young,6/19/2024,Latin America,Premium
183,Lucas,Baker,5/13/2025,North America,Free
184,Elijah,Gonzalez,1/14/2025,North America,Free
185,Diego,Medina,12/5/2024,Latin America,Free
186,Jayden,Lewis,6/24/2024,North America,Free
187,Victoria,Ortiz,1/30/2024,Latin America,Premium
188,Amelia,Jackson,2/17/2025,North America,Free
189,Leo,Meyer,8/30/2024,Europe,Free
190,Adam,Petersen,,Europe,Free
191,Pooja,Jeong,12/27/2023,Asia,Free
192,Henry,Anderson,4/6/2025,North America,Premium
193,Felix,Berg,1/17/2025,Europe,Premium
194,Natalia,Rojas,1/7/2025,Latin America,Free
195,Oscar,Lindgren,12/17/2023,Europe,Premium
196,Ella,Persson,9/11/2023,Europe,Free
197,Sofia,Medina,4/2/2024,Latin America,Free
198,,Wilson,11/11/2024,North America,Free
199,Chinedu,Nwachukwu,8/6/2024,Africa,Premium
200,Anna,Lindgren,8/22/2024,North America,Premium
201,Maja,Gustafsson,1/11/2025,Europe,Free
202,Valentina,Lopez,5/23/2025,Eu,Free
203,Sanjay,Ma,6/4/2025,Asia,Premium
204,Benjamin,Jackson,3/12/2024,North America,Premium
205,Mila,Koch,5/23/2025,Europe,Premium
206,Li,Rao,2/5/2025,Asia,Premium
207,Theo,Svensson,12/16/2023,Europe,Free
208,Camila,Gutierrez,9/14/2023,Latin America,Free
209,Ava,Green,7/30/2024,North America,Premium
210,Hiroshi,Yamamoto,3/9/2025,Asia,Free
211,Tunde,Sow,1/27/2024,Africa,Free
212,Aoi,Nair,3/18/2024,Asia,Free
213,Benjamin,Nelson,11/5/2024,North America,Free
